Date,Client,Region,Month,Year,Quarter,Amount,YearQuarter,PartialYear
3/7/2020,ABC Corporation,West,March,2020,Q1,1233631,2020-Q1,No
3/11/2020,ABC Corporation,South,March,2020,Q1,1107658,2020-Q1,No
3/13/2020,ABC Corporation,South,March,2020,Q1,1498380,2020-Q1,No
3/15/2020,ABC Corporation,South,March,2020,Q1,226445,2020-Q1,No
3/16/2020,ABC Corporation,South,March,2020,Q1,407754,2020-Q1,No
3/17/2020,ABC Corporation,South,March,2020,Q1,322835,2020-Q1,No
3/17/2020,ABC Corporation,East,March,2020,Q1,667093,2020-Q1,No
3/19/2020,Eagle Security,South,March,2020,Q1,1257419,2020-Q1,No
3/19/2020,Sol Company,West,March,2020,Q1,1289709,2020-Q1,No
3/21/2020,Sol Company,North,March,2020,Q1,344951,2020-Q1,No
3/22/2020,Sol Company,North,March,2020,Q1,1326360,2020-Q1,No
3/24/2020,Sol Company,North,March,2020,Q1,1863118,2020-Q1,No
4/3/2020,Sol Company,North,April,2020,Q1,1153948,2020-Q1,No
4/3/2020,Sol Company,North,April,2020,Q1,752850,2020-Q1,No
4/5/2020,Sol Company,North,April,2020,Q1,1649721,2020-Q1,No
4/5/2020,Sol Company,North,April,2020,Q1,1014259,2020-Q1,No
4/5/2020,Sol Company,North,April,2020,Q1,849261,2020-Q1,No
4/6/2020,Sol Company,North,April,2020,Q1,1716438,2020-Q1,No
4/9/2020,Sol Company,North,April,2020,Q1,1862963,2020-Q1,No
4/10/2020,Sol Company,North,April,2020,Q1,1454907,2020-Q1,No
4/10/2020,Sol Company,North,April,2020,Q1,207300,2020-Q1,No
4/11/2020,Sol Company,South,April,2020,Q1,1230645,2020-Q1,No
4/11/2020,Sol Company,North,April,2020,Q1,536469,2020-Q1,No
4/12/2020,Sol Company,North,April,2020,Q1,153011,2020-Q1,No
4/12/2020,Sol Company,North,April,2020,Q1,1697736,2020-Q1,No
4/14/2020,Sol Company,North,April,2020,Q1,281074,2020-Q1,No
4/18/2020,Sol Company,North,April,2020,Q1,1125999,2020-Q1,No
4/18/2020,Sol Company,South,April,2020,Q1,1541895,2020-Q1,No
4/20/2020,Eagle Security,South,April,2020,Q1,1607715,2020-Q1,No
4/24/2020,Eagle Security,South,April,2020,Q1,824127,2020-Q1,No
4/26/2020,Eagle Security,South,April,2020,Q1,500931,2020-Q1,No
4/26/2020,Eagle Security,South,April,2020,Q1,343248,2020-Q1,No
4/26/2020,Eagle Security,South,April,2020,Q1,238885,2020-Q1,No
4/27/2020,Eagle Security,South,April,2020,Q1,1425288,2020-Q1,No
4/27/2020,Eagle Security,South,April,2020,Q1,223896,2020-Q1,No
4/28/2020,Bridges Company,South,April,2020,Q1,949953,2020-Q1,No
4/30/2020,Bridges Company,South,April,2020,Q1,1122767,2020-Q1,No
5/1/2020,Bridges Company,South,May,2020,Q2,1506717,2020-Q2,No
5/2/2020,Bridges Company,South,May,2020,Q2,842817,2020-Q2,No
5/4/2020,Bridges Company,South,May,2020,Q2,1389693,2020-Q2,No
5/5/2020,Bridges Company,South,May,2020,Q2,563256,2020-Q2,No
5/5/2020,Bridges Company,West,May,2020,Q2,1893271,2020-Q2,No
5/5/2020,Bridges Company,South,May,2020,Q2,688034,2020-Q2,No
5/6/2020,Bridges Company,South,May,2020,Q2,1612228,2020-Q2,No
5/8/2020,Bridges Company,South,May,2020,Q2,1945477,2020-Q2,No
5/8/2020,Bridges Company,South,May,2020,Q2,350572,2020-Q2,No
5/8/2020,Bridges Company,South,May,2020,Q2,1083441,2020-Q2,No
5/10/2020,Bridges Company,South,May,2020,Q2,340954,2020-Q2,No
5/13/2020,Bridges Company,South,May,2020,Q2,166600,2020-Q2,No
5/14/2020,Bridges Company,South,May,2020,Q2,1675768,2020-Q2,No
5/16/2020,Bridges Company,South,May,2020,Q2,140361,2020-Q2,No
5/20/2020,Bridges Company,South,May,2020,Q2,1671316,2020-Q2,No
5/21/2020,Bridges Company,South,May,2020,Q2,1968717,2020-Q2,No
5/22/2020,Bridges Company,West,May,2020,Q2,393879,2020-Q2,No
5/23/2020,Bridges Company,South,May,2020,Q2,1489957,2020-Q2,No
5/24/2020,Bridges Company,West,May,2020,Q2,343043,2020-Q2,No
5/24/2020,Bridges Company,South,May,2020,Q2,156636,2020-Q2,No
5/26/2020,Bridges Company,West,May,2020,Q2,153941,2020-Q2,No
5/27/2020,Bridges Company,West,May,2020,Q2,1725603,2020-Q2,No
5/28/2020,Eagle Security,North,May,2020,Q2,661441,2020-Q2,No
5/29/2020,Bridges Company,West,May,2020,Q2,1225116,2020-Q2,No
6/1/2020,Bridges Company,West,June,2020,Q2,1542829,2020-Q2,No
6/6/2020,Bridges Company,West,June,2020,Q2,1297497,2020-Q2,No
6/6/2020,Eagle Security,West,June,2020,Q2,1950030,2020-Q2,No
6/7/2020,Bridges Company,North,June,2020,Q2,1438207,2020-Q2,No
6/9/2020,Bridges Company,West,June,2020,Q2,1122487,2020-Q2,No
6/10/2020,Eagle Security,West,June,2020,Q2,364278,2020-Q2,No
6/10/2020,Bridges Company,West,June,2020,Q2,297267,2020-Q2,No
6/13/2020,Bridges Company,West,June,2020,Q2,731138,2020-Q2,No
6/16/2020,Bridges Company,West,June,2020,Q2,1558700,2020-Q2,No
6/19/2020,Bridges Company,South,June,2020,Q2,130451,2020-Q2,No
6/19/2020,Eagle Security,West,June,2020,Q2,1798005,2020-Q2,No
6/19/2020,Bridges Company,West,June,2020,Q2,956910,2020-Q2,No
6/20/2020,Bridges Company,North,June,2020,Q2,1973431,2020-Q2,No
6/26/2020,Eagle Security,North,June,2020,Q2,922236,2020-Q2,No
6/28/2020,Bridges Company,North,June,2020,Q2,945055,2020-Q2,No
7/2/2020,Eagle Security,North,July,2020,Q3,1246308,2020-Q3,No
7/2/2020,Bridges Company,North,July,2020,Q3,1500441,2020-Q3,No
7/7/2020,Bridges Company,North,July,2020,Q3,1009099,2020-Q3,No
7/8/2020,Eagle Security,North,July,2020,Q3,466491,2020-Q3,No
7/9/2020,Eagle Security,South,July,2020,Q3,1193385,2020-Q3,No
7/10/2020,Eagle Security,North,July,2020,Q3,625849,2020-Q3,No
7/19/2020,Bridges Company,North,July,2020,Q3,796233,2020-Q3,No
7/20/2020,Eagle Security,North,July,2020,Q3,1820445,2020-Q3,No
7/22/2020,Eagle Security,North,July,2020,Q3,1813892,2020-Q3,No
7/23/2020,Bridges Company,South,July,2020,Q3,164169,2020-Q3,No
7/29/2020,Bridges Company,North,July,2020,Q3,512670,2020-Q3,No
8/1/2020,Bridges Company,South,August,2020,Q3,651065,2020-Q3,No
8/2/2020,Bridges Company,South,August,2020,Q3,718481,2020-Q3,No
8/6/2020,Eagle Security,South,August,2020,Q3,1447439,2020-Q3,No
8/7/2020,Eagle Security,South,August,2020,Q3,1780271,2020-Q3,No
8/9/2020,Eagle Security,North,August,2020,Q3,1045298,2020-Q3,No
8/9/2020,Eagle Security,South,August,2020,Q3,892802,2020-Q3,No
8/10/2020,Bridges Company,South,August,2020,Q3,423820,2020-Q3,No
8/11/2020,Bridges Company,South,August,2020,Q3,1046614,2020-Q3,No
8/15/2020,Bridges Company,South,August,2020,Q3,1043729,2020-Q3,No
8/15/2020,Bridges Company,South,August,2020,Q3,1922617,2020-Q3,No
8/16/2020,Eagle Security,South,August,2020,Q3,1423294,2020-Q3,No
8/17/2020,Eagle Security,East,August,2020,Q3,1852090,2020-Q3,No
8/21/2020,Eagle Security,East,August,2020,Q3,1725787,2020-Q3,No
8/22/2020,Eagle Security,East,August,2020,Q3,1441497,2020-Q3,No
8/24/2020,Eagle Security,East,August,2020,Q3,833493,2020-Q3,No
8/27/2020,Bridges Company,East,August,2020,Q3,521666,2020-Q3,No
8/30/2020,Eagle Security,East,August,2020,Q3,1577468,2020-Q3,No
9/1/2020,Eagle Security,East,September,2020,Q3,1067087,2020-Q3,No
9/2/2020,Eagle Security,East,September,2020,Q3,1317235,2020-Q3,No
9/3/2020,Eagle Security,South,September,2020,Q3,1643988,2020-Q3,No
9/6/2020,Eagle Security,East,September,2020,Q3,1924235,2020-Q3,No
9/8/2020,Eagle Security,East,September,2020,Q3,573419,2020-Q3,No
9/8/2020,Bridges Company,North,September,2020,Q3,1091814,2020-Q3,No
9/9/2020,Bridges Company,North,September,2020,Q3,138386,2020-Q3,No
9/9/2020,Eagle Security,North,September,2020,Q3,1343979,2020-Q3,No
9/9/2020,Eagle Security,North,September,2020,Q3,1897685,2020-Q3,No
9/9/2020,Eagle Security,North,September,2020,Q3,1216179,2020-Q3,No
9/9/2020,Eagle Security,North,September,2020,Q3,460067,2020-Q3,No
9/11/2020,Eagle Security,North,September,2020,Q3,1288399,2020-Q3,No
9/15/2020,Eagle Security,North,September,2020,Q3,1715151,2020-Q3,No
9/16/2020,Bridges Company,South,September,2020,Q3,719167,2020-Q3,No
9/16/2020,Bridges Company,East,September,2020,Q3,1033758,2020-Q3,No
9/18/2020,Bridges Company,West,September,2020,Q3,135507,2020-Q3,No
9/20/2020,Bridges Company,West,September,2020,Q3,767926,2020-Q3,No
9/24/2020,Bridges Company,West,September,2020,Q3,844112,2020-Q3,No
9/24/2020,Bridges Company,West,September,2020,Q3,957901,2020-Q3,No
9/24/2020,Bridges Company,North,September,2020,Q3,1480514,2020-Q3,No
9/25/2020,Bridges Company,North,September,2020,Q3,258649,2020-Q3,No
9/26/2020,Bridges Company,North,September,2020,Q3,207556,2020-Q3,No
9/27/2020,Bridges Company,North,September,2020,Q3,1872294,2020-Q3,No
9/27/2020,Eagle Security,North,September,2020,Q3,627691,2020-Q3,No
9/28/2020,Eagle Security,South,September,2020,Q3,763764,2020-Q3,No
9/28/2020,Eagle Security,South,September,2020,Q3,1450975,2020-Q3,No
9/29/2020,Eagle Security,South,September,2020,Q3,666926,2020-Q3,No
9/30/2020,Eagle Security,South,September,2020,Q3,607578,2020-Q3,No
10/7/2020,Eagle Security,South,October,2020,Q4,263657,2020-Q4,No
10/7/2020,Bridges Company,South,October,2020,Q4,459636,2020-Q4,No
10/8/2020,Eagle Security,South,October,2020,Q4,320320,2020-Q4,No
10/8/2020,Eagle Security,South,October,2020,Q4,613065,2020-Q4,No
10/8/2020,Eagle Security,South,October,2020,Q4,1857433,2020-Q4,No
10/9/2020,Eagle Security,South,October,2020,Q4,1984820,2020-Q4,No
10/9/2020,Eagle Security,South,October,2020,Q4,1915029,2020-Q4,No
10/9/2020,Bridges Company,South,October,2020,Q4,1185740,2020-Q4,No
10/10/2020,Eagle Security,South,October,2020,Q4,190228,2020-Q4,No
10/12/2020,Eagle Security,South,October,2020,Q4,854982,2020-Q4,No
10/12/2020,Eagle Security,South,October,2020,Q4,1796239,2020-Q4,No
10/14/2020,Bridges Company,South,October,2020,Q4,1543421,2020-Q4,No
10/15/2020,Eagle Security,South,October,2020,Q4,885070,2020-Q4,No
10/18/2020,Eagle Security,North,October,2020,Q4,1430813,2020-Q4,No
10/22/2020,Eagle Security,North,October,2020,Q4,1493035,2020-Q4,No
10/24/2020,Bridges Company,North,October,2020,Q4,627891,2020-Q4,No
10/24/2020,Eagle Security,North,October,2020,Q4,1299104,2020-Q4,No
10/24/2020,Eagle Security,North,October,2020,Q4,187737,2020-Q4,No
10/24/2020,Eagle Security,East,October,2020,Q4,1495932,2020-Q4,No
10/26/2020,Eagle Security,East,October,2020,Q4,1262023,2020-Q4,No
10/28/2020,Eagle Security,East,October,2020,Q4,502801,2020-Q4,No
10/28/2020,Bridges Company,East,October,2020,Q4,394071,2020-Q4,No
10/29/2020,Eagle Security,East,October,2020,Q4,804016,2020-Q4,No
10/29/2020,Eagle Security,East,October,2020,Q4,215991,2020-Q4,No
10/30/2020,Eagle Security,East,October,2020,Q4,1570949,2020-Q4,No
10/31/2020,Eagle Security,East,October,2020,Q4,1220013,2020-Q4,No
11/1/2020,Eagle Security,East,November,2020,Q4,1469859,2020-Q4,No
11/4/2020,Bridges Company,South,November,2020,Q4,1353627,2020-Q4,No
11/5/2020,Eagle Security,South,November,2020,Q4,556058,2020-Q4,No
11/11/2020,Eagle Security,South,November,2020,Q4,853969,2020-Q4,No
11/13/2020,Eagle Security,South,November,2020,Q4,963277,2020-Q4,No
11/14/2020,Eagle Security,South,November,2020,Q4,131530,2020-Q4,No
11/14/2020,Bridges Company,South,November,2020,Q4,1617203,2020-Q4,No
11/15/2020,Eagle Security,South,November,2020,Q4,1011247,2020-Q4,No
11/17/2020,Eagle Security,South,November,2020,Q4,1204392,2020-Q4,No
11/19/2020,Eagle Security,South,November,2020,Q4,1274084,2020-Q4,No
11/25/2020,Eagle Security,South,November,2020,Q4,1892281,2020-Q4,No
11/25/2020,Bridges Company,South,November,2020,Q4,835570,2020-Q4,No
11/29/2020,Eagle Security,East,November,2020,Q4,666449,2020-Q4,No
11/29/2020,Eagle Security,East,November,2020,Q4,892634,2020-Q4,No
12/5/2020,Eagle Security,East,December,2020,Q4,695542,2020-Q4,No
12/7/2020,Eagle Security,East,December,2020,Q4,1702209,2020-Q4,No
12/7/2020,Bridges Company,East,December,2020,Q4,1791580,2020-Q4,No
12/8/2020,Eagle Security,East,December,2020,Q4,347363,2020-Q4,No
12/10/2020,Eagle Security,East,December,2020,Q4,827703,2020-Q4,No
12/12/2020,Eagle Security,East,December,2020,Q4,523321,2020-Q4,No
12/13/2020,Eagle Security,South,December,2020,Q4,382282,2020-Q4,No
12/14/2020,Bridges Company,South,December,2020,Q4,1194439,2020-Q4,No
12/14/2020,Eagle Security,East,December,2020,Q4,1491139,2020-Q4,No
12/15/2020,Eagle Security,East,December,2020,Q4,474648,2020-Q4,No
12/17/2020,Eagle Security,East,December,2020,Q4,1892480,2020-Q4,No
12/17/2020,Bridges Company,East,December,2020,Q4,1145606,2020-Q4,No
12/18/2020,Eagle Security,North,December,2020,Q4,1464846,2020-Q4,No
12/20/2020,Eagle Security,East,December,2020,Q4,1948107,2020-Q4,No
12/21/2020,Bridges Company,South,December,2020,Q4,1428796,2020-Q4,No
12/22/2020,Bridges Company,South,December,2020,Q4,940449,2020-Q4,No
12/28/2020,Bridges Company,South,December,2020,Q4,1318642,2020-Q4,No
12/28/2020,Bridges Company,South,December,2020,Q4,477764,2020-Q4,No
1/3/2021,ABC Corporation,South,January,2021,Q1,1704016,2021-Q1,No
1/4/2021,ABC Corporation,South,January,2021,Q1,544052,2021-Q1,No
1/4/2021,ABC Corporation,South,January,2021,Q1,1353314,2021-Q1,No
1/6/2021,ABC Corporation,South,January,2021,Q1,700516,2021-Q1,No
1/7/2021,ABC Corporation,South,January,2021,Q1,375582,2021-Q1,No
1/9/2021,ABC Corporation,North,January,2021,Q1,1288724,2021-Q1,No
1/12/2021,ABC Corporation,South,January,2021,Q1,1109243,2021-Q1,No
1/15/2021,ABC Corporation,North,January,2021,Q1,1346386,2021-Q1,No
1/15/2021,ABC Corporation,North,January,2021,Q1,244146,2021-Q1,No
1/16/2021,ABC Corporation,North,January,2021,Q1,971479,2021-Q1,No
1/16/2021,ABC Corporation,North,January,2021,Q1,917273,2021-Q1,No
1/16/2021,ABC Corporation,North,January,2021,Q1,679070,2021-Q1,No
1/18/2021,ABC Corporation,North,January,2021,Q1,221856,2021-Q1,No
1/19/2021,ABC Corporation,North,January,2021,Q1,1297881,2021-Q1,No
1/21/2021,ABC Corporation,North,January,2021,Q1,1306013,2021-Q1,No
1/23/2021,ABC Corporation,North,January,2021,Q1,1721224,2021-Q1,No
1/24/2021,ABC Corporation,North,January,2021,Q1,1179789,2021-Q1,No
1/25/2021,ABC Corporation,North,January,2021,Q1,301911,2021-Q1,No
1/26/2021,ABC Corporation,North,January,2021,Q1,1309375,2021-Q1,No
1/26/2021,ABC Corporation,North,January,2021,Q1,1156815,2021-Q1,No
1/27/2021,ABC Corporation,North,January,2021,Q1,152871,2021-Q1,No
1/27/2021,ABC Corporation,North,January,2021,Q1,1273013,2021-Q1,No
1/28/2021,ABC Corporation,North,January,2021,Q1,1741256,2021-Q1,No
1/31/2021,ABC Corporation,North,January,2021,Q1,965094,2021-Q1,No
2/1/2021,ABC Corporation,North,February,2021,Q1,1368470,2021-Q1,No
2/5/2021,ABC Corporation,North,February,2021,Q1,613889,2021-Q1,No
2/5/2021,ABC Corporation,North,February,2021,Q1,221918,2021-Q1,No
2/7/2021,Eagle Security,South,February,2021,Q1,1279544,2021-Q1,No
2/7/2021,Eagle Security,South,February,2021,Q1,922087,2021-Q1,No
2/7/2021,Eagle Security,South,February,2021,Q1,1747049,2021-Q1,No
2/14/2021,Eagle Security,South,February,2021,Q1,1626404,2021-Q1,No
2/17/2021,Eagle Security,South,February,2021,Q1,716115,2021-Q1,No
2/17/2021,Eagle Security,South,February,2021,Q1,1788068,2021-Q1,No
2/19/2021,Eagle Security,North,February,2021,Q1,965181,2021-Q1,No
2/22/2021,Eagle Security,East,February,2021,Q1,1919674,2021-Q1,No
2/23/2021,Eagle Security,South,February,2021,Q1,710460,2021-Q1,No
2/24/2021,Eagle Security,South,February,2021,Q1,1159050,2021-Q1,No
2/24/2021,Eagle Security,East,February,2021,Q1,1553537,2021-Q1,No
3/2/2021,Eagle Security,East,March,2021,Q1,867425,2021-Q1,No
3/2/2021,Eagle Security,East,March,2021,Q1,867440,2021-Q1,No
3/3/2021,Eagle Security,East,March,2021,Q1,449075,2021-Q1,No
3/4/2021,Eagle Security,East,March,2021,Q1,1832972,2021-Q1,No
3/5/2021,Eagle Security,East,March,2021,Q1,1813286,2021-Q1,No
3/7/2021,Eagle Security,East,March,2021,Q1,1490096,2021-Q1,No
3/10/2021,Eagle Security,East,March,2021,Q1,317729,2021-Q1,No
3/13/2021,Eagle Security,East,March,2021,Q1,550392,2021-Q1,No
3/13/2021,Eagle Security,East,March,2021,Q1,391155,2021-Q1,No
3/14/2021,Eagle Security,East,March,2021,Q1,1019828,2021-Q1,No
3/17/2021,Eagle Security,South,March,2021,Q1,653125,2021-Q1,No
3/19/2021,Eagle Security,South,March,2021,Q1,653310,2021-Q1,No
3/22/2021,Eagle Security,South,March,2021,Q1,704506,2021-Q1,No
3/25/2021,Eagle Security,South,March,2021,Q1,310953,2021-Q1,No
3/26/2021,Eagle Security,South,March,2021,Q1,237671,2021-Q1,No
3/28/2021,Chiral Corporation,North,March,2021,Q1,552682,2021-Q1,No
3/28/2021,Chiral Corporation,South,March,2021,Q1,923332,2021-Q1,No
3/30/2021,Chiral Corporation,South,March,2021,Q1,845410,2021-Q1,No
4/1/2021,Chiral Corporation,South,April,2021,Q1,473634,2021-Q1,No
4/2/2021,Chiral Corporation,South,April,2021,Q1,742897,2021-Q1,No
4/2/2021,Chiral Corporation,South,April,2021,Q1,1931479,2021-Q1,No
4/3/2021,Chiral Corporation,South,April,2021,Q1,342611,2021-Q1,No
4/4/2021,Chiral Corporation,South,April,2021,Q1,1208575,2021-Q1,No
4/5/2021,Chiral Corporation,South,April,2021,Q1,1057025,2021-Q1,No
4/6/2021,Chiral Corporation,South,April,2021,Q1,1721828,2021-Q1,No
4/7/2021,Chiral Corporation,South,April,2021,Q1,635510,2021-Q1,No
4/9/2021,Chiral Corporation,East,April,2021,Q1,741781,2021-Q1,No
4/10/2021,Chiral Corporation,East,April,2021,Q1,775601,2021-Q1,No
4/10/2021,Chiral Corporation,East,April,2021,Q1,750053,2021-Q1,No
4/10/2021,Chiral Corporation,East,April,2021,Q1,772157,2021-Q1,No
4/10/2021,Chiral Corporation,East,April,2021,Q1,1616031,2021-Q1,No
4/12/2021,Chiral Corporation,East,April,2021,Q1,501597,2021-Q1,No
4/14/2021,Chiral Corporation,East,April,2021,Q1,342694,2021-Q1,No
4/14/2021,Chiral Corporation,North,April,2021,Q1,1471375,2021-Q1,No
4/15/2021,Chiral Corporation,East,April,2021,Q1,1447654,2021-Q1,No
4/15/2021,Chiral Corporation,North,April,2021,Q1,1138550,2021-Q1,No
4/16/2021,Chiral Corporation,North,April,2021,Q1,126557,2021-Q1,No
4/17/2021,Chiral Corporation,North,April,2021,Q1,1338180,2021-Q1,No
4/19/2021,Chiral Corporation,North,April,2021,Q1,1482245,2021-Q1,No
4/22/2021,Chiral Corporation,North,April,2021,Q1,1483781,2021-Q1,No
4/23/2021,Chiral Corporation,North,April,2021,Q1,1291426,2021-Q1,No
4/24/2021,Chiral Corporation,North,April,2021,Q1,494077,2021-Q1,No
4/26/2021,Titan Industries,North,April,2021,Q1,244270,2021-Q1,No
4/27/2021,Titan Industries,North,April,2021,Q1,202651,2021-Q1,No
4/28/2021,Titan Industries,West,April,2021,Q1,1194863,2021-Q1,No
4/28/2021,Titan Industries,North,April,2021,Q1,985177,2021-Q1,No
4/29/2021,Titan Industries,North,April,2021,Q1,1612172,2021-Q1,No
4/29/2021,Titan Industries,North,April,2021,Q1,362308,2021-Q1,No
4/30/2021,Titan Industries,North,April,2021,Q1,1637925,2021-Q1,No
5/2/2021,Titan Industries,North,May,2021,Q2,1112967,2021-Q2,No
5/4/2021,Titan Industries,North,May,2021,Q2,236582,2021-Q2,No
5/5/2021,Titan Industries,North,May,2021,Q2,690844,2021-Q2,No
5/8/2021,Titan Industries,East,May,2021,Q2,1755000,2021-Q2,No
5/8/2021,Titan Industries,North,May,2021,Q2,402346,2021-Q2,No
5/9/2021,Titan Industries,North,May,2021,Q2,1960974,2021-Q2,No
5/10/2021,Titan Industries,North,May,2021,Q2,1693451,2021-Q2,No
5/11/2021,Titan Industries,North,May,2021,Q2,348204,2021-Q2,No
5/15/2021,Titan Industries,North,May,2021,Q2,1603278,2021-Q2,No
5/16/2021,Titan Industries,North,May,2021,Q2,1342342,2021-Q2,No
5/19/2021,Titan Industries,South,May,2021,Q2,935490,2021-Q2,No
5/19/2021,Titan Industries,North,May,2021,Q2,1598325,2021-Q2,No
5/26/2021,Titan Industries,North,May,2021,Q2,1430846,2021-Q2,No
5/27/2021,Titan Industries,North,May,2021,Q2,214411,2021-Q2,No
5/28/2021,Titan Industries,North,May,2021,Q2,791424,2021-Q2,No
5/30/2021,Titan Industries,South,May,2021,Q2,394061,2021-Q2,No
6/1/2021,Titan Industries,North,June,2021,Q2,272760,2021-Q2,No
6/3/2021,Titan Industries,North,June,2021,Q2,1639657,2021-Q2,No
6/3/2021,Sol Company,South,June,2021,Q2,577852,2021-Q2,No
6/4/2021,Sol Company,South,June,2021,Q2,597433,2021-Q2,No
6/4/2021,Sol Company,South,June,2021,Q2,264551,2021-Q2,No
6/4/2021,Sol Company,South,June,2021,Q2,1324711,2021-Q2,No
